country,renewable_percent,oil_percent,gas_percent,nuclear_percent,hydroelec_percent,coal_percent,co2_percent,labels
Canada,2.2671215371914246,2.7939483716342304,3.5549432572529427,3.7517539650258747,11.91317286856308,0.6077469779696231,1.820784934249215,3
Mexico,0.7990211019591402,2.4439922674844667,2.580919408806772,0.4072836483191593,1.1500359058214138,0.40360636226862334,1.5677901822549412,5
Argentina,0.47341543486281273,0.7235615710939283,1.5979292903195572,0.2583571179646832,1.2569078160686074,0.03443810303144957,0.5679115794815192,3
Brazil,7.939951438003094,2.968485746742168,1.001751401093326,0.6321423832008326,13.581266740639034,0.4232597169186524,1.4261537385962837,1
Chile,0.39228459156095824,0.46645555841869646,0.2127368618716604,0.0,0.6503162308021474,0.15780443752492807,0.29281234148035507,1
Colombia,0.1315410406906098,0.33974527542743704,0.31036468706891257,0.0,1.5355030342276985,0.10663709763452836,0.23977839783800017,1
Ecuador,0.025033735043928022,0.2818308697744144,0.02043917229950087,0.0,0.3529998143984308,0.0,0.11053381471971391,1
Peru,0.13666012463728372,0.2636417420384839,0.22937120151558876,0.0,0.683523091328064,0.022407258042242088,0.15357490929376022,1
Trinidad & Tobago,0.0003376397600271738,0.05502616946345131,0.746529650915911,0.0,0.0,0.0,0.08329900339854589,5
Venezuela,0.0002512903308893551,0.9204357207709487,1.2147234159210956,0.0,2.6366086865093807,0.005620115260662444,0.5789931614654855,1
Central America,0.5771104096804149,0.47610230056222436,0.0,0.0,0.6632429460333088,0.019388302527873543,0.198216007332195,1
Belarus,0.01871576698309985,0.21909767504862768,0.7007808395836156,0.0,0.0013317052615948511,0.021245743519514037,0.1918404013770197,1
Austria,0.7546985269149857,0.31514278869790774,0.3295674591377789,0.0,1.0856278016188692,0.09498361635803731,0.21826669170855414,1
Belgium,0.8240778671485247,0.8193735082878193,0.6022881127562014,1.9471245668607073,0.006214624554109298,0.09670172533370044,0.4139156839511974,1
Bulgaria,0.09219788738898417,0.10172952284068408,0.11151478858460177,0.6585684410118501,0.09249010114457577,0.22178208475682393,0.17077376029029795,1
Croatia,0.02291871818861084,0.0924169176900636,0.10895301079523186,0.0,0.15958268051444968,0.019252864673494303,0.06125978201073091,1
Cyprus,0.021029816163413154,0.07295641383070967,0.0,0.0,0.0,0.00018884100519703906,0.02928946723697562,1
Czech Republic,0.5548679998409403,0.24121498597885319,0.2886437714428706,1.1417204725856172,0.06766648092308505,0.5064629284255855,0.38081175458092636,1
Denmark,1.2442379605474185,0.21329053376803017,0.158458363341646,0.0,0.0005348839982583024,0.08871931042298944,0.1558175490574287,1
Estonia,0.10061705825286166,0.03530080574324055,0.021499007817358556,0.0,0.0009512180439963225,0.11423054406113221,0.0803374715032643,1
Finland,1.0558150147597958,0.26183301520644203,0.13165484527205268,0.9461267121780677,0.39324378820202166,0.1510458069938803,0.1942280688326884,4
France,2.5404549673263577,2.1254158577203683,1.5680134015925062,17.85845135971254,1.4202002469546426,0.2676311259863312,1.124441006443936,0
Germany,10.054711788542269,2.908103642752051,2.947316133098865,4.358614848567279,0.5603395302415691,2.1456104555017057,2.5701845982345075,1
Greece,0.3875622909980054,0.46164106524727666,0.1676298645968382,0.0,0.12717785248230834,0.2163758896059213,0.3213416712608575,1
Hungary,0.27076121560996935,0.1850712689164214,0.39779036848161203,0.6331778300876755,0.007039013525572785,0.07431847081633602,0.16592392509605877,1
Iceland,0.39650124717792956,0.01847899003594271,0.0,0.0,0.39655769209141817,0.0025520795036722194,0.008451130692592188,1
Ireland,0.4201080390065015,0.1845223044722869,0.175284830893557,0.0,0.0224071141952543,0.0533978347748333,0.12993526152972548,5
Italy,3.6433230443148465,1.8275712492274296,2.7051232968865153,0.0,1.4529221476681158,0.4199622991456164,1.3005381320094815,1
Latvia,0.02602311128276984,0.04215786867936656,0.055331603295814595,0.0,0.09153888310057945,0.003041128609546688,0.027933205637003588,1
Lithuania,0.07043992159968401,0.0668332358945587,0.1152513659572921,0.0,0.015216317977127842,0.0065671939433183885,0.04167340231488904,1
Luxembourg,0.03275398476265763,0.07725933017635547,0.04375838098877563,0.0,0.001997557892392279,0.0016000172143921317,0.039470688068981005,5
Netherlands,1.160166515418037,1.2100729275190507,1.4917885522320853,0.16715604611565793,0.0018073142835930128,0.20397004648580278,0.738506809246224,1
North Macedonia,0.00020790394300691898,0.025174950513189173,0.004674700192611557,0.0,0.04543651523489099,0.04051109338821177,0.03145149897924496,1
Norway,0.18172932898050692,0.2667744118944954,0.14651695822240338,0.0,3.8140989910120533,0.023165029341024768,0.12219358565895508,1
Poland,1.1709947761126933,0.7125279707414837,0.5996830008077194,0.0,0.07394134928664745,1.5058473129688343,1.0904488995795703,1
Portugal,1.17683668734227,0.31296887117772526,0.19149298161610484,0.0,0.3657750451847191,0.060846051895603874,0.17306156254592933,1
Romania,0.20517605847159512,0.2340758831824045,0.47074899398850584,0.47421449002417587,0.466984645065928,0.22489326891461026,0.28628859050645816,1
Slovakia,0.16998987862310824,0.09722510642025162,0.1965673906610335,0.6221158663990205,0.1153510414686207,0.10002214461933474,0.11341053768479559,1
Slovenia,0.04038983692905381,0.06853011293446981,0.03127564123405607,0.25088898252351655,0.1129412890904967,0.0398762920379127,0.05119671230072515,5
Spain,5.338860711615745,1.7447517276717228,1.2263759397270404,2.3305023087316057,0.9701155757668473,0.35044212652893414,1.0429412272220475,1
Sweden,1.7001105201999211,0.3740971660210895,0.04452918967268412,2.441272923267846,2.126416230085646,0.06737798518558454,0.1744477650303045,1
Switzerland,0.14012613427735018,0.29590812132994176,0.11316492906405602,1.086119726180477,1.0271050665547807,0.0037561375259175752,0.13479666251404562,5
Turkey,0.49210425048097095,0.8260178138364688,1.5250339419889645,0.0,1.6595127556261389,0.9281962877217149,1.005717165605618,5
Ukraine,0.0213849758099129,0.35085332261991936,2.0457859934278586,3.643146199209583,0.3469989522142758,1.1367245586494783,1.0195299934656308,5
United Kingdom,2.897466760265955,1.9480156537965112,2.98587165786602,2.7846234423465575,0.18046984869848462,0.8616251704647353,1.6678962662314938,1
Azerbaijan,0.0,0.10757891398946863,0.32513238929575466,0.0,0.08484230807084532,0.00013506390009729853,0.09600226950729847,1
Kazakhstan,1.2395865315682952e-05,0.30660024811099484,0.4432854867021388,0.0,0.24995862662952695,0.9956408489660489,0.681353126628008,1
Turkmenistan,3.851572437372918e-05,0.1542013876650112,0.7557853964268151,0.0,0.00010000472369214668,0.0,0.20169115350092268,1
Uzbekistan,0.0,0.09053125462545958,1.726106280069857,0.0,0.18140679317053868,0.0299164036503332,0.3618497980616956,1
Iran,0.01991771011948512,2.2512358812586557,5.583762312208136,0.004485366631331303,0.33876045273522365,0.03910414674419329,1.7889562492297877,1
Iraq,0.0,0.7858091236936454,0.22970052672116678,0.0,0.10778914338426313,0.0,0.3500459047521889,1
Israel,0.02751893534148744,0.31319522208220163,0.17310498094297694,0.0,0.0009195107758631115,0.21732396035404528,0.24502802592626768,1
Kuwait,0.0,0.5189427529021499,0.5780101677289735,0.0,0.0,0.00037094072515307484,0.2890395028665096,1
Oman,0.0,0.17891808871331566,0.6602296825352305,0.0,0.0,0.0002788597482976484,0.17590341746329094,5
Qatar,0.009776543081426189,0.22547912575806134,1.045165282460829,0.0,0.0,0.0,0.2313207474478877,5
Saudi Arabia,0.0004181707217719167,3.719100804713866,3.194671158239093,0.0,0.0,0.0017575398845019962,1.6884467822950924,1
United Arab Emirates,0.0017452029154651314,0.8993193854663356,2.2465938525920026,0.0,0.0,0.01218859688906776,0.7482799912361565,5
Algeria,0.001527874725772316,0.4256684363345264,0.9767303299276019,0.0,0.011985347354353663,0.007534327636264318,0.3384892861672877,1
Egypt,0.14667546260981276,0.8970842110913643,1.740790882906778,0.0,0.41187741305040765,0.012076513491395187,0.6378545639071111,1
Morocco,0.05837870802124752,0.33933172652908616,0.03218003546951423,0.0,0.06358575551434084,0.08157051267579571,0.1780736036116238,1
South Africa,0.04463354769789789,0.687184143781275,0.15603757396705747,0.5208318024969284,0.09714549551326508,2.479811209169056,1.5742329330199918,1
Eastern Africa,0.2672025448330152,0.5664607966658306,0.03481023123595378,0.0,1.7633511354088225,0.08404737982376206,0.2694104760789099,1
Middle Africa,0.007302092253606259,0.2773420165781061,0.1487719251945796,0.0,0.5427016013680351,4.790024324168939e-06,0.13558276656735357,5
Western Africa,0.026370306124245235,0.6812056657977265,0.44845277036067166,0.0,0.5389356973858804,0.009143001698164914,0.3502897124227608,1
Australia,1.5898283156214035,1.1909904579818307,1.2860433624125902,0.0,0.6205746519032006,1.3945945639673634,1.3787712581498643,2
Bangladesh,0.00560765335709467,0.13495071497694502,0.713755498979136,0.0,0.02764873781215977,0.030425992282045136,0.1901017372413287,0
China,9.487142969785536,12.106835717565215,4.926591090107595,3.520115732268808,21.81602730271499,52.16090544047126,29.697894277407066,5
India,3.5612563752381288,4.325828517822488,2.1973775799830837,1.3008139600472908,4.175992987309098,8.346103201536069,5.839583746055283,0
Indonesia,0.9066714965359487,1.957088693385423,1.5576350359734925,0.0,0.39376939221953094,1.2841142764660043,1.6156207707209547,1
Japan,2.701305152526208,5.426028303813908,4.083240947730781,6.577097467251648,2.6154298373993816,3.022750862173406,4.073187877288219,1
Malaysia,0.1387300006265836,0.8495948826330683,1.3966407070012143,0.0,0.2554337520811457,0.40444602129174717,0.7189186825515406,1
New Zealand,0.730385321367306,0.19364541002024413,0.1465826643011305,0.0,0.7961906590891604,0.038327500260890913,0.1164333091324867,1
Pakistan,0.0022624562341481192,0.5437049871160102,1.2881051319644554,0.15910215501835492,0.9700654590785162,0.10930770503805187,0.4849621144038414,1
Philippines,0.940209215881908,0.3625786824280924,0.13872059416310828,0.0,0.3074822473543914,0.2117096411040614,0.27142945465944507,0
Singapore,0.051445348482228204,1.649006953573087,0.3020598219108117,0.0,0.0,0.00017534435226215138,0.6486000620102883,1
South Korea,0.44144674457229394,2.8614465445429316,1.765802854115998,6.245908751103324,0.1457794738952182,2.2928301477349327,2.0787792282474276,1
Sri Lanka,0.011127658279319025,0.11787280765930298,0.0,0.0,0.14534268210813517,0.008194575835685433,0.049888035895837825,5
Taiwan,0.2864665413070825,1.1472277318272721,0.6210934664944913,1.7001711221678273,0.12682040056330132,1.0929508996568298,0.9087179030882351,1
