index,country,renewable_percent,oil_percent,gas_percent,nuclear_percent,hydroelec_percent,coal_percent,co2_percent,labels
1,Mexico,2.472937322516358,2.6484477617996776,1.8004405406805108,0.3358005982796981,1.4147354296868644,0.2959569839390894,1.6341848353287918,1
3,Argentina,0.2749270213307853,0.6043522079786755,1.6191307131180186,0.252309973917248,1.455760985503831,0.02918374602753657,0.5762611251690548,3
5,Chile,0.5325728777029396,0.3555757312461251,0.3516353015897919,0.0,0.8161652206706664,0.14514361138115295,0.2602620121853076,0
6,Colombia,0.19282430972128128,0.33010375175654155,0.2875530523028437,0.0,1.3181026823329505,0.122123823698466,0.25364269728626176,0
7,Ecuador,0.0,0.19565504112815207,0.016383604667009038,0.0,0.32556062973538924,0.0,0.0935915455115507,0
8,Peru,0.06150732580307404,0.2241966621377884,0.01667140550877651,0.0,0.6919118613327797,0.028450492168525632,0.12029030725292028,0
9,Trinidad & Tobago,0.0077957049523833186,0.051551705095960194,0.4919568533061298,0.0,0.0,0.0,0.06097394870235071,0
10,Venezuela,0.0,0.7126446613204984,1.553903459151024,0.0,2.689867725333868,0.005969469810133068,0.6196414022788022,3
11,Central America,1.154467307265524,0.3981863610834774,0.0,0.0,0.6572378015147625,0.011741063453921995,0.19736216561625428,2
12,Belarus,0.0,0.2293158545594373,0.7617013030824129,0.0,0.001154890255128557,0.04495170419174748,0.2355323191678715,0
13,Austria,0.6466558172515898,0.35505979799758863,0.3920656567272679,0.0,1.7894661162103092,0.16501460149716718,0.29399881370205605,2
14,Belgium,0.22619822587528496,0.9279661748705588,0.7783782632083116,1.9670538147859664,0.01967590805033837,0.3445018651731201,0.6421973446068822,3
15,Bulgaria,0.0,0.12624884628022456,0.1707942521019791,0.7425110419083267,0.11433413525772712,0.28432927336207797,0.2004607387653927,0
16,Croatia,0.0003873257292385015,0.11675939740631942,0.1288191704853171,0.0,0.27601877097572497,0.01950333112012711,0.08066185786746588,0
17,Cyprus,0.0,0.07453336721029423,0.0,0.0,0.0,0.0016264108101352467,0.03683565041761664,0
18,Czech Republic,0.29722664656557396,0.2358426890761484,0.4372935953427695,0.5551064506290109,0.07519618772281493,0.958400519457764,0.5731237016888703,0
19,Denmark,2.146561344842295,0.3060382068859685,0.2557751533567077,0.0,0.0012917661372178677,0.1794021479735296,0.2656714332877553,2
20,Estonia,0.0050352344801005205,0.03305485185572013,0.038653911678881804,0.0,0.0002138685657645476,0.1277961781460163,0.07949430811554037,0
21,Finland,3.35684609037367,0.3265405172361712,0.1975740308157595,0.9276497170768684,0.6244443651074454,0.2265788304848167,0.27555889449864895,2
24,Greece,0.1746839038865642,0.6010521538586093,0.0982700231757394,0.0,0.1579633226736948,0.4076818712844146,0.4788924767148245,0
25,Hungary,0.025176172400502596,0.2058118905119557,0.5630336267239625,0.5792059948432211,0.007613720941217894,0.17478074683460834,0.2557762805655142,0
26,Iceland,0.5123014110117843,0.0239729770282344,0.0,0.0,0.2716339520929941,0.004271802876667256,0.012843804755527105,0
27,Ireland,0.13132705682785015,0.2466381820421593,0.2007428856530682,0.0,0.03618656132736146,0.11816710330076664,0.20130690495474085,0
28,Italy,2.58733587131319,2.786294671726201,3.4029504853736037,0.0,1.8905981213586005,0.5655228718602933,1.9895152650836971,1
29,Latvia,0.0019366286461925074,0.037811059411820606,0.06383912307575497,0.0,0.1205790973780519,0.005945435072605514,0.03208049744643611,0
30,Lithuania,0.0,0.07008357119962902,0.12035827442742625,0.3438882419312467,0.014513120872782203,0.004169936604874537,0.050262261214412435,0
31,Luxembourg,0.01825659824765677,0.06895974595562045,0.039142577641621414,0.0,0.005282724669236939,0.004956035163106572,0.04173706892523663,0
32,Netherlands,1.1038411450597223,1.2142718525429717,2.0550339541206144,0.1600866550520106,0.006090677336982243,0.3506944532644629,0.9984893580439644,3
33,North Macedonia,0.0,0.028143908742858013,0.002880139068856985,0.0,0.050045244388904134,0.06038632929834069,0.040346373238189764,0
35,Poland,0.08753561480790134,0.6009922685053761,0.5806964465092093,0.0,0.0900814399000274,2.5409822689445494,1.3844570715980615,3
36,Portugal,0.5985731819651803,0.471319663622308,0.11575720193281927,0.0,0.4843267540303944,0.16771191367297994,0.28333062686685634,0
37,Romania,0.0,0.2910128333844634,0.7976004968458483,0.222859513953781,0.6321099329736968,0.3322759544010212,0.4103734103488639,0
38,Slovakia,0.0,0.10206300442315294,0.3367920323952047,0.6737252241850556,0.1974006862006775,0.19327502558128068,0.16780753989170152,0
39,Slovenia,0.02711280104669511,0.07035767492493812,0.04811770886902266,0.19447106780314355,0.1639944162282551,0.06132942167782884,0.0646520036911651,0
40,Spain,2.5312124327449093,2.0585129088463976,0.8871730127150381,2.54090889387993,1.2648186979315346,0.9458482422497644,1.4287256328225066,1
41,Sweden,1.764656022410613,0.4798006406170871,0.040515187632141056,2.3411686036977475,3.3613294744082416,0.11590892224705003,0.26665117604326144,2
42,Switzerland,0.3280648926650108,0.3703544622543819,0.14187630226049205,1.0727199439791792,1.5756695293181118,0.0062261753702644645,0.19910580348559848,2
43,Turkey,0.10647584296766407,0.9286880044550272,0.6992017612828477,0.0,1.3207881015921166,1.014744811290216,0.9499477743883028,3
44,Ukraine,0.002323954375431009,0.36221069270121736,3.7197972866140394,3.1591234730020847,0.4822308420859021,1.7414008291063228,1.5509294947645504,1
46,Azerbaijan,0.0,0.18548485084112595,0.2644188767871323,0.0,0.06561487597656318,0.0,0.13127326954453922,0
47,Kazakhstan,0.0,0.2303118761471487,0.2621634856312325,0.0,0.32213099810444706,0.8059180816848844,0.4731721364387888,0
48,Turkmenistan,0.0,0.12038522346346905,0.35900219098494124,0.0,0.00013490829128427666,0.0,0.12422893753255725,0
50,Uzbekistan,0.0,0.2092350618518602,2.4401533330790968,0.0,0.2514666596259551,0.0320460561738414,0.5528232875361642,3
51,Iran,0.014137389117205303,2.0227991202247493,2.9799477766264784,0.0,0.16172740943115088,0.0588894440380015,1.4496861817743247,3
52,Iraq,0.0,0.6527390178064044,0.15002290972244609,0.0,0.13672946766918806,0.0,0.3437000946554674,0
53,Israel,0.0,0.4015643781450424,0.0004594347584213912,0.0,0.0013259851077401948,0.28258467669973963,0.2856482465937113,0
54,Kuwait,0.0,0.3457297859634895,0.4572126772493596,0.0,0.0,1.1260455243971378e-06,0.2369905765560448,0
55,Oman,0.0,0.09452012524552904,0.3844147346430225,0.0,0.0,1.12775741691874e-05,0.11723341494897413,0
56,Qatar,0.0,0.053536401423796766,0.5663641770673079,0.0,0.0,0.0,0.10371914270733217,0
57,Saudi Arabia,0.0,2.152174930435061,2.3722670264365213,0.0,0.0,0.0,1.2847870256149094,3
58,United Arab Emirates,0.0,0.5805055882636212,1.5362872351752948,0.0,0.0,0.0,0.5745622715283768,3
59,Algeria,0.0,0.2575799691511204,0.9576045673644694,0.0,0.002309780510257114,0.021911367858766517,0.28908817467404685,0
60,Egypt,0.03125718634954708,0.8072594000401605,0.9650596531853258,0.0,0.6064457050819511,0.0392782728455468,0.5480995381544067,3
61,Morocco,0.024788846671264096,0.20850310215630688,0.002215226603979863,0.0,0.030711526043789024,0.12130313958925383,0.14585371608033748,0
62,South Africa,0.18855016499330265,0.6601019354992305,0.05713166874845409,0.5314153771355377,0.04709385244480376,3.3717117109042616,1.7164033222177018,3
63,Eastern Africa,0.5809355913895407,0.41033008539735816,0.00011602581332651797,0.0,1.319746507995833,0.13770953738699224,0.25044318057794696,2
64,Middle Africa,0.002711280104669511,0.13277364085656382,0.03501787884415325,0.0,0.4859008266825799,7.377532233249142e-08,0.06706096129769859,0
65,Western Africa,0.0640408233990389,0.5569461544264434,0.3653279566462063,0.0,0.6397650588610884,0.002435629649268882,0.3279438602904346,0
66,Australia,0.4145353617175064,1.1680058080905231,1.0304871643425042,0.0,0.7043333476323845,2.298074782547166,1.6544800538292774,3
67,Bangladesh,0.0,0.0986231178436053,0.4541138910742003,0.0,0.03203751115152924,0.014903073321737625,0.10859455304130856,0
70,Indonesia,1.887205883141675,1.6464018634875268,1.6546462805156177,0.0,0.4284215109395416,0.5946157978634486,1.2435340624751952,1
72,Malaysia,0.22112542079944825,0.6801739996311849,1.4415239921250234,0.0,0.29915934979144915,0.1122375908569804,0.6062715423811506,3
73,New Zealand,1.3942110398007383,0.18885855500466367,0.2946712912061061,0.0,1.0451743847182182,0.04995588558052784,0.1500940270849509,2
74,Pakistan,0.3589347532853194,0.5571621492999138,0.9000121259121849,0.03863081779637294,0.7510326696383584,0.09162114230428556,0.4516986498631175,0
76,Singapore,0.09489480366343288,1.0631083429612325,0.08309162982701444,0.0,0.0,0.0,0.4946082267391658,0
78,Sri Lanka,0.0014842321944419374,0.10179667938418424,0.0,0.0,0.13705585626688666,1.5369582155778087e-05,0.04880414612576648,0
79,Taiwan,0.41042260136678377,1.3187082134258286,0.3392696428986802,1.5727113601817166,0.19504729155935133,1.2421987696903327,1.0887242688037813,3
80,Thailand,0.20408095493551168,1.0518431843534841,1.0625867623923315,0.0,0.2519989357124298,0.3562033046765761,0.7838526366397031,3
81,Vietnam,0.0,0.2478996212774793,0.07740530413081262,0.0,0.6224003000879863,0.211851879956184,0.21691612393107576,0
